㞮	deru
噿	sui
嚀	dei
嚁	koe
嚂	musaboru
嚃	susuru
嚄	wameku
嚅	yakamashii
嚆	sakebu
嚇	odosu
嚈	you
嚊	hanaiki
嚋	tare
嚌	nameru
嚍	ikidooru
嚎	kau
嚏	kusame
嚐	nameru
嚔	kushami
嚕	kataru
嚗	haku
嚘	musebu
嚙	kajiru
嚚	warui
嚜	itsuwaru
嚝	sakebu
嚞	tetsu
嚟	ri
嚠	kiyoi
嚢	fukuro
嚥	nomu
嚦	reki
嚧	ro
嚨	nodo
嚩	noroi
嚪	kurau
嚫	hodokosu
嚬	hisomeru
嚭	ookii
嚮	mukau
嚱	koe
嚲	ta
嚳	tsugeru
嚴	kibishii
嚵	susuru
嚶	naku
嚷	wameku
嚻	kamabisushi
嚼	kamu
嚽	setsu
嚾	yobu
囀	saezuru
囁	sasayaku
囂	kamabisushi
囃	hayashi
囅	ten
囆	tai
囈	negoto
囉	koe
囊	fukuro
囋	koe
囌	yokushaberu
囎	so
囏	katashi
囐	koe
囑	tanomu
囓	kamu
囔	dou
囗	kakomu
囘	mawasu
囙	yoru
囚	toraeru
